"","chr","start","end","extra1","extra2","GeneSymbol","Chr","Start","End"
"45936",1,149879545,189572371,2.2483e-05,4.64814573952125,"HRNR",1,152184558,152196669
"45962",1,149879545,189572371,2.2483e-05,4.64814573952125,"FLG",1,152274651,152297679
"45993",1,149879545,189572371,2.2483e-05,4.64814573952125,"FLG2",1,152321211,152332482
"23229",1,149879545,189572371,2.2483e-05,4.64814573952125,"HMGN3P1",1,152372053,152372245
"46012",1,149879545,189572371,2.2483e-05,4.64814573952125,"CRNN",1,152381719,152386739
"46023",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE5A",1,152483320,152484653
"46040",1,149879545,189572371,2.2483e-05,4.64814573952125,"CRCT1",1,152486978,152488486
"46055",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE3E",1,152538130,152539248
"46064",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE3D",1,152551857,152552980
"46086",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE3C",1,152573138,152573562
"46102",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE3B",1,152586287,152586574
"46117",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE3A",1,152595310,152595579
"23250",1,149879545,189572371,2.2483e-05,4.64814573952125,"LINC00302",1,152627953,152629280
"46121",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE2D",1,152635872,152637135
"46126",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE2B",1,152647771,152659877
"46138",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE2C",1,152647771,152649050
"46144",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE2A",1,152670840,152671918
"46156",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE4A",1,152680636,152681967
"46165",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf68",1,152691998,152692905
"46176",1,149879545,189572371,2.2483e-05,4.64814573952125,"KPRP",1,152730506,152734529
"46188",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1F",1,152748848,152749445
"46207",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1E",1,152758690,152760902
"46220",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1D",1,152769227,152770657
"46235",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1C",1,152777311,152779107
"46248",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1B",1,152784447,152785585
"46255",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE1A",1,152799949,152800573
"46261",1,149879545,189572371,2.2483e-05,4.64814573952125,"LCE6A",1,152815344,152816459
"46269",1,149879545,189572371,2.2483e-05,4.64814573952125,"SMCP",1,152850793,152857523
"46303",1,149879545,189572371,2.2483e-05,4.64814573952125,"IVL",1,152881021,152884362
"46330",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR4",1,152943142,152945050
"46345",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR1A",1,152956557,152958289
"46368",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR3",1,152974223,152976332
"46385",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR1B",1,153003678,153005376
"46391",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2D",1,153012201,153014407
"46403",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2A",1,153028589,153030013
"46416",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2B",1,153042700,153113927
"46423",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2E",1,153065611,153078660
"46428",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2F",1,153084590,153085991
"23311",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2C",1,153112967,153113185
"46433",1,149879545,189572371,2.2483e-05,4.64814573952125,"SPRR2G",1,153122058,153123345
"46441",1,149879545,189572371,2.2483e-05,4.64814573952125,"LELP1",1,153175919,153177596
"46448",1,149879545,189572371,2.2483e-05,4.64814573952125,"PRR9",1,153190060,153191793
"46462",1,149879545,189572371,2.2483e-05,4.64814573952125,"LOR",1,153232176,153234598
"46493",1,149879545,189572371,2.2483e-05,4.64814573952125,"PGLYRP3",1,153270338,153283194
"46531",1,149879545,189572371,2.2483e-05,4.64814573952125,"PGLYRP4",1,153302596,153321316
"23369",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-160P",1,153304098,153304204
"46582",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A9",1,153330330,153333503
"46599",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A12",1,153346184,153348125
"46623",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A8",1,153362508,153363664
"46645",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A7A",1,153389000,153395701
"46663",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A7L2",1,153409534,153412425
"46669",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A7",1,153430220,153433177
"23428",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL44P",1,153472943,153473240
"46687",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A6",1,153507075,153508720
"46700",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A5",1,153509623,153514241
"46718",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A4",1,153516089,153522612
"46751",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A3",1,153519805,153521848
"46789",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A2",1,153533584,153540366
"46838",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A16",1,153579362,153585621
"46876",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A14",1,153586731,153589462
"46946",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A13",1,153591263,153606568
"46991",1,149879545,189572371,2.2483e-05,4.64814573952125,"S100A1",1,153600402,153604513
"47059",1,149879545,189572371,2.2483e-05,4.64814573952125,"CHTOP",1,153606525,153618782
"47175",1,149879545,189572371,2.2483e-05,4.64814573952125,"SNAPIN",1,153631130,153634306
"47274",1,149879545,189572371,2.2483e-05,4.64814573952125,"ILF2",1,153634512,153643524
"47577",1,149879545,189572371,2.2483e-05,4.64814573952125,"NPR1",1,153651113,153666468
"23582",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL372P",1,153676564,153676859
"47853",1,149879545,189572371,2.2483e-05,4.64814573952125,"INTS3",1,153700543,153746555
"48199",1,149879545,189572371,2.2483e-05,4.64814573952125,"SLC27A3",1,153746830,153752633
"48295",1,149879545,189572371,2.2483e-05,4.64814573952125,"GATAD2B",1,153777201,153895451
"48449",1,149879545,189572371,2.2483e-05,4.64814573952125,"DENND4B",1,153901977,153919172
"48614",1,149879545,189572371,2.2483e-05,4.64814573952125,"CRTC2",1,153920145,153931101
"48902",1,149879545,189572371,2.2483e-05,4.64814573952125,"SLC39A1",1,153931575,153940188
"49225",1,149879545,189572371,2.2483e-05,4.64814573952125,"CREB3L4",1,153940010,153946839
"49385",1,149879545,189572371,2.2483e-05,4.64814573952125,"JTB",1,153946745,153950164
"49478",1,149879545,189572371,2.2483e-05,4.64814573952125,"RAB13",1,153954127,153958834
"49618",1,149879545,189572371,2.2483e-05,4.64814573952125,"RPS27",1,153963235,153964626
"49717",1,149879545,189572371,2.2483e-05,4.64814573952125,"NUP210L",1,153965161,154127592
"23746",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-179P",1,154012392,154012498
"23748",1,149879545,189572371,2.2483e-05,4.64814573952125,"RPS7P2",1,154051342,154052439
"23757",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR5698",1,154076997,154077068
"50069",1,149879545,189572371,2.2483e-05,4.64814573952125,"TPM3",1,154127784,154167124
"23765",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL431P",1,154138723,154139025
"23771",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR190B",1,154166141,154166219
"50245",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf189",1,154171848,154178809
"50380",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf43",1,154179182,154193104
"50817",1,149879545,189572371,2.2483e-05,4.64814573952125,"UBAP2L",1,154192655,154243986
"51171",1,149879545,189572371,2.2483e-05,4.64814573952125,"HAX1",1,154244987,154248351
"23790",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-239P",1,154267979,154268077
"23794",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-121P",1,154270126,154270224
"51250",1,149879545,189572371,2.2483e-05,4.64814573952125,"AQP10",1,154293566,154297801
"51314",1,149879545,189572371,2.2483e-05,4.64814573952125,"ATP8B2",1,154298029,154323783
"23800",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU7-57P",1,154311219,154311278
"51421",1,149879545,189572371,2.2483e-05,4.64814573952125,"IL6R",1,154377669,154441926
"51479",1,149879545,189572371,2.2483e-05,4.64814573952125,"SHE",1,154442248,154474589
"51516",1,149879545,189572371,2.2483e-05,4.64814573952125,"TDRD10",1,154474695,154520623
"51628",1,149879545,189572371,2.2483e-05,4.64814573952125,"UBE2Q1",1,154521053,154531504
"23858",1,149879545,189572371,2.2483e-05,4.64814573952125,"UBE2Q1-AS1",1,154526085,154527493
"51828",1,149879545,189572371,2.2483e-05,4.64814573952125,"CHRNB2",1,154540257,154552502
"52004",1,149879545,189572371,2.2483e-05,4.64814573952125,"ADAR",1,154554538,154600475
"52207",1,149879545,189572371,2.2483e-05,4.64814573952125,"KCNN3",1,154669931,154842756
"52319",1,149879545,189572371,2.2483e-05,4.64814573952125,"PMVK",1,154897210,154909467
"52432",1,149879545,189572371,2.2483e-05,4.64814573952125,"PBXIP1",1,154916552,154928599
"52524",1,149879545,189572371,2.2483e-05,4.64814573952125,"PYGO2",1,154929502,154936329
"52797",1,149879545,189572371,2.2483e-05,4.64814573952125,"SHC1",1,154934774,154946871
"52987",1,149879545,189572371,2.2483e-05,4.64814573952125,"CKS1B",1,154947129,154951725
"23890",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR4258",1,154948169,154948259
"53080",1,149879545,189572371,2.2483e-05,4.64814573952125,"FLAD1",1,154955814,154965587
"53162",1,149879545,189572371,2.2483e-05,4.64814573952125,"LENEP",1,154966062,154966791
"53184",1,149879545,189572371,2.2483e-05,4.64814573952125,"ZBTB7B",1,154975127,154990998
"53231",1,149879545,189572371,2.2483e-05,4.64814573952125,"DCST2",1,154990996,155006257
"53388",1,149879545,189572371,2.2483e-05,4.64814573952125,"DCST1",1,155006300,155023406
"54074",1,149879545,189572371,2.2483e-05,4.64814573952125,"ADAM15",1,155023042,155035252
"54533",1,149879545,189572371,2.2483e-05,4.64814573952125,"EFNA4",1,155036207,155042029
"54589",1,149879545,189572371,2.2483e-05,4.64814573952125,"EFNA3",1,155036224,155060014
"54667",1,149879545,189572371,2.2483e-05,4.64814573952125,"EFNA1",1,155099936,155107333
"54759",1,149879545,189572371,2.2483e-05,4.64814573952125,"SLC50A1",1,155107820,155111329
"54817",1,149879545,189572371,2.2483e-05,4.64814573952125,"DPM3",1,155112367,155113071
"23945",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU7-150P",1,155115747,155115808
"23951",1,149879545,189572371,2.2483e-05,4.64814573952125,"HMGN2P18",1,155121020,155121295
"54831",1,149879545,189572371,2.2483e-05,4.64814573952125,"KRTCAP2",1,155141884,155145951
"54919",1,149879545,189572371,2.2483e-05,4.64814573952125,"TRIM46",1,155145873,155157447
"55096",1,149879545,189572371,2.2483e-05,4.64814573952125,"MUC1",1,155158300,155162707
"23963",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR92B",1,155164968,155165063
"55329",1,149879545,189572371,2.2483e-05,4.64814573952125,"THBS3",1,155165379,155178842
"55507",1,149879545,189572371,2.2483e-05,4.64814573952125,"MTX1",1,155178490,155183615
"24047",1,149879545,189572371,2.2483e-05,4.64814573952125,"GBAP1",1,155183616,155197214
"24285",1,149879545,189572371,2.2483e-05,4.64814573952125,"MTX1P1",1,155200766,155204116
"55571",1,149879545,189572371,2.2483e-05,4.64814573952125,"GBA",1,155204243,155214490
"55709",1,149879545,189572371,2.2483e-05,4.64814573952125,"FAM189B",1,155216996,155225274
"55782",1,149879545,189572371,2.2483e-05,4.64814573952125,"SCAMP3",1,155225770,155232221
"55865",1,149879545,189572371,2.2483e-05,4.64814573952125,"CLK2",1,155232659,155248282
"55922",1,149879545,189572371,2.2483e-05,4.64814573952125,"HCN3",1,155247374,155259639
"55987",1,149879545,189572371,2.2483e-05,4.64814573952125,"PKLR",1,155259630,155271225
"56041",1,149879545,189572371,2.2483e-05,4.64814573952125,"FDPS",1,155278539,155290457
"24353",1,149879545,189572371,2.2483e-05,4.64814573952125,"RUSC1-AS1",1,155286654,155293967
"56099",1,149879545,189572371,2.2483e-05,4.64814573952125,"RUSC1",1,155290687,155300905
"56223",1,149879545,189572371,2.2483e-05,4.64814573952125,"ASH1L",1,155305059,155532598
"24418",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR555",1,155316141,155316236
"24424",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-106P",1,155328503,155328609
"24432",1,149879545,189572371,2.2483e-05,4.64814573952125,"ASH1L-IT1",1,155365801,155366769
"24440",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU6-1297P",1,155389188,155389291
"24455",1,149879545,189572371,2.2483e-05,4.64814573952125,"POU5F1P4",1,155402969,155404053
"24556",1,149879545,189572371,2.2483e-05,4.64814573952125,"ASH1L-AS1",1,155531821,155533775
"24578",1,149879545,189572371,2.2483e-05,4.64814573952125,"DAP3P1",1,155556435,155571988
"56317",1,149879545,189572371,2.2483e-05,4.64814573952125,"MSTO1",1,155579979,155718153
"24661",1,149879545,189572371,2.2483e-05,4.64814573952125,"MSTO2P",1,155581011,155720105
"56663",1,149879545,189572371,2.2483e-05,4.64814573952125,"YY1AP1",1,155629237,155658791
"56806",1,149879545,189572371,2.2483e-05,4.64814573952125,"DAP3",1,155657751,155708801
"56999",1,149879545,189572371,2.2483e-05,4.64814573952125,"GON4L",1,155719508,155829191
"57120",1,149879545,189572371,2.2483e-05,4.64814573952125,"SYT11",1,155829300,155854990
"24808",1,149879545,189572371,2.2483e-05,4.64814573952125,"RNU4-19P",1,155864072,155864177
"57148",1,149879545,189572371,2.2483e-05,4.64814573952125,"RIT1",1,155867599,155881195
"57197",1,149879545,189572371,2.2483e-05,4.64814573952125,"KIAA0907",1,155882834,155904191
"24813",1,149879545,189572371,2.2483e-05,4.64814573952125,"SNORA42",1,155889700,155889836
"24817",1,149879545,189572371,2.2483e-05,4.64814573952125,"SCARNA4",1,155895749,155895877
"57222",1,149879545,189572371,2.2483e-05,4.64814573952125,"RXFP4",1,155911480,155912625
"57332",1,149879545,189572371,2.2483e-05,4.64814573952125,"ARHGEF2",1,155916630,155976861
"57441",1,149879545,189572371,2.2483e-05,4.64814573952125,"SSR2",1,155978839,155990750
"57489",1,149879545,189572371,2.2483e-05,4.64814573952125,"UBQLN4",1,156005092,156023585
"57532",1,149879545,189572371,2.2483e-05,4.64814573952125,"LAMTOR2",1,156024543,156028301
"57557",1,149879545,189572371,2.2483e-05,4.64814573952125,"RAB25",1,156030951,156040295
"57570",1,149879545,189572371,2.2483e-05,4.64814573952125,"MEX3A",1,156041804,156051789
"57758",1,149879545,189572371,2.2483e-05,4.64814573952125,"LMNA",1,156052364,156109880
"57983",1,149879545,189572371,2.2483e-05,4.64814573952125,"SEMA4A",1,156117157,156147543
"58058",1,149879545,189572371,2.2483e-05,4.64814573952125,"SLC25A44",1,156163880,156182587
"58096",1,149879545,189572371,2.2483e-05,4.64814573952125,"PMF1-BGLAP",1,156182773,156213123
"58162",1,149879545,189572371,2.2483e-05,4.64814573952125,"PMF1",1,156182784,156212874
"58218",1,149879545,189572371,2.2483e-05,4.64814573952125,"BGLAP",1,156211753,156213112
"58361",1,149879545,189572371,2.2483e-05,4.64814573952125,"PAQR6",1,156213206,156217881
"58431",1,149879545,189572371,2.2483e-05,4.64814573952125,"SMG5",1,156219015,156252620
"58476",1,149879545,189572371,2.2483e-05,4.64814573952125,"TMEM79",1,156252726,156262976
"58524",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf85",1,156259880,156265463
"58567",1,149879545,189572371,2.2483e-05,4.64814573952125,"VHLL",1,156268415,156269428
"58742",1,149879545,189572371,2.2483e-05,4.64814573952125,"CCT3",1,156278759,156337664
"58811",1,149879545,189572371,2.2483e-05,4.64814573952125,"TSACC",1,156307105,156316786
"58855",1,149879545,189572371,2.2483e-05,4.64814573952125,"RHBG",1,156339003,156355011
"58922",1,149879545,189572371,2.2483e-05,4.64814573952125,"C1orf61",1,156374042,156400493
"24869",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR9-1",1,156390123,156390230
"59023",1,149879545,189572371,2.2483e-05,4.64814573952125,"MEF2D",1,156433519,156470620
"59125",1,149879545,189572371,2.2483e-05,4.64814573952125,"IQGAP3",1,156495197,156542396
"59200",1,149879545,189572371,2.2483e-05,4.64814573952125,"TTC24",1,156549519,156556562
"59232",1,149879545,189572371,2.2483e-05,4.64814573952125,"APOA1BP",1,156561554,156564091
"59308",1,149879545,189572371,2.2483e-05,4.64814573952125,"GPATCH4",1,156564279,156571288
"59377",1,149879545,189572371,2.2483e-05,4.64814573952125,"HAPLN2",1,156589086,156595517
"59475",1,149879545,189572371,2.2483e-05,4.64814573952125,"BCAN",1,156611182,156629324
"59526",1,149879545,189572371,2.2483e-05,4.64814573952125,"NES",1,156638555,156647189
"59536",1,149879545,189572371,2.2483e-05,4.64814573952125,"CRABP2",1,156669398,156675608
"59548",1,149879545,189572371,2.2483e-05,4.64814573952125,"ISG20L2",1,156691683,156698591
"59570",1,149879545,189572371,2.2483e-05,4.64814573952125,"RRNAD1",1,156698234,156706752
"59591",1,149879545,189572371,2.2483e-05,4.64814573952125,"MRPL24",1,156707095,156711382
"59617",1,149879545,189572371,2.2483e-05,4.64814573952125,"HDGF",1,156711899,156736717
"59633",1,149879545,189572371,2.2483e-05,4.64814573952125,"PRCC",1,156720402,156770607
"59665",1,149879545,189572371,2.2483e-05,4.64814573952125,"SH2D2A",1,156776035,156786654
"59725",1,149879545,189572371,2.2483e-05,4.64814573952125,"NTRK1",1,156785432,156851642
"59752",1,149879545,189572371,2.2483e-05,4.64814573952125,"INSRR",1,156809855,156828810
"59775",1,149879545,189572371,2.2483e-05,4.64814573952125,"PEAR1",1,156863490,156886226
"59816",1,149879545,189572371,2.2483e-05,4.64814573952125,"LRRC71",1,156890442,156902886
"59884",1,149879545,189572371,2.2483e-05,4.64814573952125,"ARHGEF11",1,156904632,157015162
"7528",1,149879545,189572371,2.2483e-05,4.64814573952125,"MIR765",1,156905923,156906036
"7539",1,149879545,189572371,2.2483e-05,4.64814573952125,"RN7SL612P",1,156955549,156955841
"7578",1,149879545,189572371,2.2483e-05,4.64814573952125,"KRT8P45",1,157043049,157044495
"59920",1,149879545,189572371,2.2483e-05,4.64814573952125,"ETV3L",1,157061836,157069600
"59942",1,149879545,189572371,2.2483e-05,4.64814573952125,"ETV3",1,157090983,157108266
"7645",1,149879545,189572371,2.2483e-05,4.64814573952125,"CYCSP52",1,157098154,157098463
"59980",1,149879545,189572371,2.2483e-05,4.64814573952125,"FCRL5",1,157483167,157522310
