Chromosome	Aberration Kind	Region Start [bp]	Region End [bp]	Region Size [bp]	q-value
10	0	130764150	131119215	355066	8.49139044705082e-05
10	0	131121272	131498998	377727	8.49139044705082e-05
10	0	131502238	131562253	60016	8.49139044705082e-05
10	0	131615422	131725313	109892	8.49139044705082e-05
10	0	131730898	131829767	98870	8.49139044705082e-05
10	0	132017659	132078352	60694	8.49139044705082e-05
10	0	132081991	132179421	97431	8.49139044705082e-05
10	0	132914909	133136714	221806	8.49139044705082e-05
10	0	133727734	133823250	95517	8.49139044705082e-05
10	0	133869596	133869632	37	8.49139044705082e-05
10	0	134143497	134199109	55613	8.49139044705082e-05
10	0	134350009	134357815	7807	8.49139044705082e-05
10	0	134403563	134406401	2839	8.49139044705082e-05
10	0	135063027	135063027	1	8.49139044705082e-05
10	0	87185011	87263326	78316	0.000247199257731959
10	0	88134257	88134257	1	0.000247199257731959
10	0	88239509	88239586	78	0.000247199257731959
10	0	88421571	88693512	271942	0.000247199257731959
10	0	88708354	88859356	151003	0.000247199257731959
10	0	119022376	119098898	76523	0.000247199257731959
10	0	119111483	119207027	95545	0.000247199257731959
10	0	119212229	119555062	342834	0.000247199257731959
10	0	119565538	120031074	465537	0.000247199257731959
10	0	120034243	120099614	65372	0.000247199257731959
10	0	120106387	120252105	145719	0.000247199257731959
10	0	120252950	120291594	38645	0.000247199257731959
10	0	120295149	120312191	17043	0.000247199257731959
10	0	120327457	120568325	240869	0.000247199257731959
10	0	120570830	120585115	14286	0.000247199257731959
10	0	120588262	120632810	44549	0.000247199257731959
10	0	121075294	121075638	345	0.000247199257731959
10	0	121381964	121382455	492	0.000247199257731959
10	0	121419309	121419487	179	0.000247199257731959
10	0	121492871	121570638	77768	0.000247199257731959
10	0	121619292	121879873	260582	0.000247199257731959
10	0	121880337	122214603	334267	0.000247199257731959
10	0	122218170	122738551	520382	0.000247199257731959
10	0	123542613	123589267	46655	0.000247199257731959
10	0	124848065	124916708	68644	0.000247199257731959
10	0	124923055	124939028	15974	0.000247199257731959
10	0	127191094	127256215	65122	0.000247199257731959
10	0	127261800	127482950	221151	0.000247199257731959
10	0	127538851	127861938	323088	0.000247199257731959
10	0	128127163	128127580	418	0.000247199257731959
10	0	128172291	128470930	298640	0.000247199257731959
10	0	128476069	128523864	47796	0.000247199257731959
10	0	130150738	130221371	70634	0.000247199257731959
10	0	130262934	130262961	28	0.000247199257731959
10	0	130635016	130677838	42823	0.000247199257731959
10	0	130679321	130762472	83152	0.000247199257731959
10	0	132181267	132908468	727202	0.000247199257731959
10	0	133141041	133727647	586607	0.000247199257731959
10	0	133823990	133868904	44915	0.000247199257731959
10	0	133870799	134137455	266657	0.000247199257731959
10	0	134199587	134213897	14311	0.000247199257731959
10	0	134254935	134349315	94381	0.000247199257731959
10	0	134357970	134399126	41157	0.000247199257731959
10	0	134406992	134560811	153820	0.000247199257731959
10	0	134868453	135056464	188012	0.000247199257731959
10	0	135068670	135076596	7927	0.000247199257731959
10	0	85177065	85403084	226020	0.00140335328500227
10	0	85424102	85425929	1828	0.00140335328500227
10	0	86866016	86867359	1344	0.00140335328500227
10	0	87051401	87066935	15535	0.00140335328500227
10	0	87153596	87183483	29888	0.00140335328500227
10	0	88135695	88239351	103657	0.00140335328500227
10	0	88240172	88420184	180013	0.00140335328500227
10	0	119210375	119210375	1	0.00140335328500227
10	0	120635622	121068198	432577	0.00140335328500227
10	0	121077880	121239096	161217	0.00140335328500227
10	0	121239473	121379764	140292	0.00140335328500227
10	0	121385339	121404546	19208	0.00140335328500227
10	0	121409124	121416576	7453	0.00140335328500227
10	0	121423172	121491849	68678	0.00140335328500227
10	0	122742331	123541866	799536	0.00140335328500227
10	0	127862063	128122911	260849	0.00140335328500227
10	0	128128786	128165461	36676	0.00140335328500227
10	0	134216982	134252019	35038	0.00140335328500227
10	0	134561207	134852047	290841	0.00140335328500227
10	0	135079788	135126133	46346	0.00140335328500227
10	0	85169664	85175604	5941	0.013058065727003
10	0	85404814	85422130	17317	0.013058065727003
10	0	85425986	85426553	568	0.013058065727003
10	0	85535946	85540277	4332	0.013058065727003
10	0	86291935	86291949	15	0.013058065727003
10	0	86293511	86864657	571147	0.013058065727003
10	0	86869427	87048863	179437	0.013058065727003
10	0	87067980	87150846	82867	0.013058065727003
10	0	121239137	121239137	1	0.013058065727003
10	0	135153296	135225087	71792	0.013058065727003
10	0	84719759	84855431	135673	0.0352143219269103
10	0	85165303	85167424	2122	0.0352143219269103
10	0	85427332	85534283	106952	0.0352143219269103
10	0	85540591	85729335	188745	0.0352143219269103
10	0	85824118	85824325	208	0.0352143219269103
10	0	85897869	86291229	393361	0.0352143219269103
10	0	86292070	86292070	1	0.0352143219269103
11	0	456120	31375907	30919788	0
11	0	31540697	31583630	42934	0
11	0	33671277	33671641	365	0
11	0	33742811	33744877	2067	0
11	0	33932364	33996495	64132	0
11	0	38454186	38545930	91745	0
11	0	38616912	39856604	1239693	0
11	0	39864994	39865551	558	0
11	0	41404439	41434518	30080	0
11	0	41457207	41463450	6244	0
11	0	41528507	41544955	16449	0
11	0	31381247	31452191	70945	0.000348645781466113
11	0	31478571	31537071	58501	0.000348645781466113
11	0	31588500	31592991	4492	0.000348645781466113
11	0	31597145	31627228	30084	0.000348645781466113
11	0	31649493	31652600	3108	0.000348645781466113
11	0	31657495	31679673	22179	0.000348645781466113
11	0	31703182	31736229	33048	0.000348645781466113
11	0	33510586	33670718	160133	0.000348645781466113
11	0	33673544	33741826	68283	0.000348645781466113
11	0	33746227	33927030	180804	0.000348645781466113
11	0	33996583	34002709	6127	0.000348645781466113
11	0	36952421	37665650	713230	0.000348645781466113
11	0	38379903	38454134	74232	0.000348645781466113
11	0	38546283	38613283	67001	0.000348645781466113
11	0	39857064	39864352	7289	0.000348645781466113
11	0	39867683	39909092	41410	0.000348645781466113
11	0	39950063	39951708	1646	0.000348645781466113
11	0	40336531	40337458	928	0.000348645781466113
11	0	40616238	40740594	124357	0.000348645781466113
11	0	40812078	40866059	53982	0.000348645781466113
11	0	41123136	41247044	123909	0.000348645781466113
11	0	41310591	41331962	21372	0.000348645781466113
11	0	41348349	41398658	50310	0.000348645781466113
11	0	41435486	41453916	18431	0.000348645781466113
11	0	41464383	41488003	23621	0.000348645781466113
11	0	41496552	41528112	31561	0.000348645781466113
11	0	41545068	41596964	51897	0.000348645781466113
11	0	42483699	42520431	36733	0.000348645781466113
11	0	31454908	31473828	18921	0.00211833040351578
11	0	31594747	31594747	1	0.00211833040351578
11	0	31628383	31649475	21093	0.00211833040351578
11	0	31654426	31654426	1	0.00211833040351578
11	0	31682446	31703119	20674	0.00211833040351578
11	0	31738582	32358979	620398	0.00211833040351578
11	0	32371058	32371215	158	0.00211833040351578
11	0	32455527	32458807	3281	0.00211833040351578
11	0	32958609	33508688	550080	0.00211833040351578
11	0	34003222	34072011	68790	0.00211833040351578
11	0	34196900	34214758	17859	0.00211833040351578
11	0	36762933	36763744	812	0.00211833040351578
11	0	36766362	36952099	185738	0.00211833040351578
11	0	37667462	38054524	387063	0.00211833040351578
11	0	38088905	38376809	287905	0.00211833040351578
11	0	39918136	39945540	27405	0.00211833040351578
11	0	39952264	40332970	380707	0.00211833040351578
11	0	40340037	40615445	275409	0.00211833040351578
11	0	40746601	40809473	62873	0.00211833040351578
11	0	40867131	41122984	255854	0.00211833040351578
11	0	41248142	41309795	61654	0.00211833040351578
11	0	41334439	41348025	13587	0.00211833040351578
11	0	41492401	41495878	3478	0.00211833040351578
11	0	41597214	41702954	105741	0.00211833040351578
11	0	41769608	41774809	5202	0.00211833040351578
11	0	41953768	41976509	22742	0.00211833040351578
11	0	42306720	42309380	2661	0.00211833040351578
11	0	42358884	42411137	52254	0.00211833040351578
11	0	42450746	42482988	32243	0.00211833040351578
11	0	42520546	42775676	255131	0.00211833040351578
11	0	32365337	32368774	3438	0.0103234871896723
11	0	32373504	32454262	80759	0.0103234871896723
11	0	32462576	32569662	107087	0.0103234871896723
11	0	32665112	32957995	292884	0.0103234871896723
11	0	34119367	34132964	13598	0.0103234871896723
11	0	34186507	34196646	10140	0.0103234871896723
11	0	34214901	34264591	49691	0.0103234871896723
11	0	34913449	34920301	6853	0.0103234871896723
11	0	36220911	36240949	20039	0.0103234871896723
11	0	36336520	36336633	114	0.0103234871896723
11	0	36613101	36761311	148211	0.0103234871896723
11	0	36763813	36765284	1472	0.0103234871896723
11	0	38057723	38085547	27825	0.0103234871896723
11	0	41704738	41769592	64855	0.0103234871896723
11	0	41782412	41949920	167509	0.0103234871896723
11	0	41987905	42131625	143721	0.0103234871896723
11	0	42287577	42306216	18640	0.0103234871896723
11	0	42309862	42358871	49010	0.0103234871896723
11	0	42411168	42450710	39543	0.0103234871896723
11	0	42776543	42796425	19883	0.0103234871896723
11	0	32570554	32663384	92831	0.0183963969264069
11	0	34077945	34113671	35727	0.0183963969264069
11	0	34134297	34183300	49004	0.0183963969264069
11	0	34266079	34639284	373206	0.0183963969264069
11	0	34858084	34860858	2775	0.0183963969264069
11	0	34862837	34913315	50479	0.0183963969264069
11	0	34921801	35040928	119128	0.0183963969264069
11	0	35057285	35392791	335507	0.0183963969264069
11	0	35546361	35550288	3928	0.0183963969264069
11	0	35650073	35651303	1231	0.0183963969264069
11	0	35740102	35814191	74090	0.0183963969264069
11	0	36180790	36220342	39553	0.0183963969264069
11	0	36243010	36336263	93254	0.0183963969264069
11	0	36339673	36608587	268915	0.0183963969264069
11	0	42131899	42287048	155150	0.0183963969264069
11	0	42797724	42835179	37456	0.0183963969264069
11	0	42848816	42849616	801	0.0183963969264069
11	0	42864437	42988239	123803	0.0183963969264069
11	0	43019050	43019991	942	0.0183963969264069
11	0	43125485	43214727	89243	0.0183963969264069
11	0	43347099	43583818	236720	0.0183963969264069
11	0	43593010	43983744	390735	0.0183963969264069
11	0	44048650	44388076	339427	0.0183963969264069
11	0	44390285	44393294	3010	0.0183963969264069
12	0	12519331	12546759	27429	0.0114916191693291
12	0	12856420	12881678	25259	0.0114916191693291
12	0	13017111	13017255	145	0.0114916191693291
12	0	129473906	129474554	649	0.0114916191693291
12	0	129476035	129477365	1331	0.0114916191693291
12	0	129547125	129552485	5361	0.0114916191693291
12	0	129556460	129796394	239935	0.0114916191693291
12	0	12123464	12126280	2817	0.0330759111111111
12	0	12418307	12451954	33648	0.0330759111111111
12	0	12482448	12513376	30929	0.0330759111111111
12	0	12549503	12665335	115833	0.0330759111111111
12	0	12675854	12680166	4313	0.0330759111111111
12	0	12789908	12854708	64801	0.0330759111111111
12	0	12885007	13013521	128515	0.0330759111111111
12	0	13018781	13042255	23475	0.0330759111111111
12	0	129414664	129417765	3102	0.0330759111111111
12	0	129451994	129471145	19152	0.0330759111111111
12	0	129475024	129475939	916	0.0330759111111111
12	0	129477778	129543694	65917	0.0330759111111111
12	0	129553050	129556120	3071	0.0330759111111111
12	0	129796484	129796809	326	0.0330759111111111
12	0	132045714	132046004	291	0.0330759111111111
13	0	39251220	53791404	14540185	0
13	0	54542782	55135748	592967	0
13	0	55854704	57171059	1316356	0
13	0	39226140	39246643	20504	0.000148899854862119
13	0	53791608	53816328	24721	0.000148899854862119
13	0	54251240	54539004	287765	0.000148899854862119
13	0	55137589	55846240	708652	0.000148899854862119
13	0	57182642	57253775	71134	0.000148899854862119
13	0	57446736	57447370	635	0.000148899854862119
13	0	37462040	37464416	2377	0.000471023696682464
13	0	39223231	39223231	1	0.000471023696682464
13	0	53817816	54247555	429740	0.000471023696682464
13	0	57256500	57437340	180841	0.000471023696682464
13	0	57454073	57572786	118714	0.000471023696682464
13	0	58545264	58545264	1	0.000471023696682464
13	0	36996761	37070097	73337	0.00271842650807137
13	0	37312146	37354300	42155	0.00271842650807137
13	0	37378168	37462010	83843	0.00271842650807137
13	0	37465550	37522221	56672	0.00271842650807137
13	0	37862441	37886409	23969	0.00271842650807137
13	0	38028321	38033050	4730	0.00271842650807137
13	0	38182330	38189009	6680	0.00271842650807137
13	0	38205521	38205546	26	0.00271842650807137
13	0	38596233	38773068	176836	0.00271842650807137
13	0	38846037	38846637	601	0.00271842650807137
13	0	38954595	39043779	89185	0.00271842650807137
13	0	39120162	39220170	100009	0.00271842650807137
13	0	57574843	58200568	625726	0.00271842650807137
13	0	58429196	58542097	112902	0.00271842650807137
13	0	58545612	59022668	477057	0.00271842650807137
13	0	59353616	59353706	91	0.00271842650807137
13	0	62239743	62244070	4328	0.00271842650807137
13	0	36976301	36996654	20354	0.00600607235142119
13	0	37070297	37311331	241035	0.00600607235142119
13	0	37358108	37376181	18074	0.00600607235142119
13	0	37534146	37859000	324855	0.00600607235142119
13	0	37892959	38024498	131540	0.00600607235142119
13	0	38034928	38151202	116275	0.00600607235142119
13	0	38168372	38179611	11240	0.00600607235142119
13	0	38194040	38205422	11383	0.00600607235142119
13	0	38209449	38209449	1	0.00600607235142119
13	0	38373393	38595502	222110	0.00600607235142119
13	0	38773192	38846015	72824	0.00600607235142119
13	0	38848018	38876748	28731	0.00600607235142119
13	0	38924871	38953739	28869	0.00600607235142119
13	0	39044497	39119082	74586	0.00600607235142119
13	0	58211591	58428625	217035	0.00600607235142119
13	0	59028904	59253503	224600	0.00600607235142119
13	0	59295282	59296202	921	0.00600607235142119
13	0	59299483	59346041	46559	0.00600607235142119
13	0	59354333	59374070	19738	0.00600607235142119
13	0	59920908	59921583	676	0.00600607235142119
13	0	61503219	61503348	130	0.00600607235142119
13	0	61755547	62231777	476231	0.00600607235142119
13	0	62246526	62290184	43659	0.00600607235142119
13	0	62462039	62462039	1	0.00600607235142119
13	0	36883967	36972889	88923	0.0177675631621842
13	0	38155909	38167511	11603	0.0177675631621842
13	0	38210100	38364933	154834	0.0177675631621842
13	0	38877636	38919996	42361	0.0177675631621842
13	0	59256647	59292831	36185	0.0177675631621842
13	0	59296678	59296678	1	0.0177675631621842
13	0	59395679	59919661	523983	0.0177675631621842
13	0	59922495	60245671	323177	0.0177675631621842
13	0	60467373	60508244	40872	0.0177675631621842
13	0	60782107	60783296	1190	0.0177675631621842
13	0	61373118	61373118	1	0.0177675631621842
13	0	61473596	61502789	29194	0.0177675631621842
13	0	61506148	61755041	248894	0.0177675631621842
13	0	62292815	62461791	168977	0.0177675631621842
13	0	62467668	62467668	1	0.0177675631621842
13	0	62632653	62749471	116819	0.0177675631621842
14	0	68414034	68418213	4180	0
14	0	68556944	68774331	217388	0
14	0	68785077	68790884	5808	0
14	0	68363480	68410199	46720	0.00593502149818766
14	0	68774767	68783274	8508	0.00593502149818766
14	0	68793554	68825456	31903	0.00593502149818766
14	0	68341443	68362623	21181	0.0250564316792358
14	0	68422474	68556431	133958	0.0250564316792358
14	0	68832075	68832967	893	0.0250564316792358
14	0	68851068	68857256	6189	0.0250564316792358
15	0	31134902	31167781	32880	0
15	0	31254741	31255264	524	0
15	0	31289449	31290381	933	0
15	0	31537496	31537646	151	0
15	0	40490711	40490711	1	0
15	0	40511951	40513651	1701	0
15	0	40643379	40643706	328	0
15	0	24139438	24139438	1	0.000917531293037491
15	0	25388267	25391004	2738	0.000917531293037491
15	0	25436068	25436179	112	0.000917531293037491
15	0	25805413	25973246	167834	0.000917531293037491
15	0	26037425	26037885	461	0.000917531293037491
15	0	26054895	26054925	31	0.000917531293037491
15	0	27389621	27391724	2104	0.000917531293037491
15	0	27496129	28560816	1064688	0.000917531293037491
15	0	31170290	31251781	81492	0.000917531293037491
15	0	31259621	31289398	29778	0.000917531293037491
15	0	31290447	31537376	246930	0.000917531293037491
15	0	31538187	32929864	1391678	0.000917531293037491
15	0	33043455	33175116	131662	0.000917531293037491
15	0	36040200	36042418	2219	0.000917531293037491
15	0	36166400	36968291	801892	0.000917531293037491
15	0	38465813	38468627	2815	0.000917531293037491
15	0	39036870	39057113	20244	0.000917531293037491
15	0	39146147	39161381	15235	0.000917531293037491
15	0	39212535	40487155	1274621	0.000917531293037491
15	0	40492692	40510316	17625	0.000917531293037491
15	0	40519077	40643018	123942	0.000917531293037491
15	0	40645879	40964710	318832	0.000917531293037491
15	0	23702085	23880551	178467	0.00500283998679214
15	0	23895771	24138517	242747	0.00500283998679214
15	0	24139537	24139537	1	0.00500283998679214
15	0	24801722	24901966	100245	0.00500283998679214
15	0	25261785	25386427	124643	0.00500283998679214
15	0	25392089	25433912	41824	0.00500283998679214
15	0	25436189	25488223	52035	0.00500283998679214
15	0	25631644	25676467	44824	0.00500283998679214
15	0	25774319	25776021	1703	0.00500283998679214
15	0	25793639	25804489	10851	0.00500283998679214
15	0	25980875	26037199	56325	0.00500283998679214
15	0	26038544	26054812	16269	0.00500283998679214
15	0	26058208	26525600	467393	0.00500283998679214
15	0	26611517	26611779	263	0.00500283998679214
15	0	26666698	26773372	106675	0.00500283998679214
15	0	26857125	27079829	222705	0.00500283998679214
15	0	27154683	27387990	233308	0.00500283998679214
15	0	27400365	27495291	94927	0.00500283998679214
15	0	28561016	31132027	2571012	0.00500283998679214
15	0	32931904	33042833	110930	0.00500283998679214
15	0	33175141	33251727	76587	0.00500283998679214
15	0	33261838	33344366	82529	0.00500283998679214
15	0	34467806	34469959	2154	0.00500283998679214
15	0	34985414	35677695	692282	0.00500283998679214
15	0	35813378	36037609	224232	0.00500283998679214
15	0	36042531	36163893	121363	0.00500283998679214
15	0	36972004	38025137	1053134	0.00500283998679214
15	0	38072349	38464874	392526	0.00500283998679214
15	0	38471642	39036108	564467	0.00500283998679214
15	0	39057267	39143575	86309	0.00500283998679214
15	0	39162244	39210321	48078	0.00500283998679214
15	0	40978726	43017426	2038701	0.00500283998679214
16	0	677854	5159480	4481627	0
16	0	5227803	5246930	19128	0
16	0	5270834	5271209	376	0
16	0	655262	668985	13724	0.0012096512195122
16	0	5161774	5226844	65071	0.0012096512195122
16	0	5247684	5269253	21570	0.0012096512195122
16	0	5273194	5301991	28798	0.0012096512195122
16	0	5484145	5484644	500	0.0012096512195122
16	0	5572378	5572624	247	0.0012096512195122
16	0	78718595	78718595	1	0.0012096512195122
16	0	653845	653862	18	0.00171788974358974
16	0	5302814	5383594	80781	0.00171788974358974
16	0	5394437	5483889	89453	0.00171788974358974
16	0	5485117	5489529	4413	0.00171788974358974
16	0	5553986	5572126	18141	0.00171788974358974
16	0	5572640	5577589	4950	0.00171788974358974
16	0	5830105	5832328	2224	0.00171788974358974
16	0	78572468	78574676	2209	0.00171788974358974
16	0	78582719	78586531	3813	0.00171788974358974
16	0	78591553	78592754	1202	0.00171788974358974
16	0	78693196	78704213	11018	0.00171788974358974
16	0	78714567	78716478	1912	0.00171788974358974
16	0	78718675	78721730	3056	0.00171788974358974
16	0	653459	653675	217	0.00371119575596817
16	0	5383635	5394084	10450	0.00371119575596817
16	0	5489632	5553929	64298	0.00371119575596817
16	0	5580646	5731945	151300	0.00371119575596817
16	0	5908162	5909380	1219	0.00371119575596817
16	0	6144535	6145849	1315	0.00371119575596817
16	0	78563757	78567208	3452	0.00371119575596817
16	0	78569521	78570715	1195	0.00371119575596817
16	0	78578900	78582443	3544	0.00371119575596817
16	0	78587360	78588571	1212	0.00371119575596817
16	0	78593049	78596305	3257	0.00371119575596817
16	0	78648998	78648998	1	0.00371119575596817
16	0	78678727	78690909	12183	0.00371119575596817
16	0	78704319	78714257	9939	0.00371119575596817
16	0	78716861	78718027	1167	0.00371119575596817
16	0	78721761	78726621	4861	0.00371119575596817
16	0	5734841	5829551	94711	0.00729740802919708
16	0	5832946	5905598	72653	0.00729740802919708
16	0	5910763	6012982	102220	0.00729740802919708
16	0	6016237	6143994	127758	0.00729740802919708
16	0	6146023	6148145	2123	0.00729740802919708
16	0	6155342	6157570	2229	0.00729740802919708
16	0	78568270	78569070	801	0.00729740802919708
16	0	78596521	78622688	26168	0.00729740802919708
16	0	78642806	78647972	5167	0.00729740802919708
16	0	78650995	78677377	26383	0.00729740802919708
16	0	78728371	78740680	12310	0.00729740802919708
17	0	987221	21305392	20318172	0
18	0	48310151	48406403	96253	0
18	0	48413422	50469733	2056312	0
18	0	50500029	50734990	234962	0
18	0	50739729	50756119	16391	0
18	0	50800555	50813069	12515	0
18	0	50814934	50815036	103	0
18	0	54736445	54799440	62996	0
18	0	54909744	54955780	46037	0
18	0	55806329	55889601	83273	0
18	0	55918205	56016402	98198	0
18	0	59094390	59094398	9	0
18	0	59249255	59250334	1080	0
18	0	59282196	59282309	114	0
18	0	59391321	69049158	9657838	0
18	0	71367032	71367032	1	0
18	0	71427893	71431348	3456	0
18	0	72922740	77109240	4186501	0
18	0	47475826	47475917	92	0.000108233598841419
18	0	48303924	48303924	1	0.000108233598841419
18	0	48407085	48407085	1	0.000108233598841419
18	0	50472131	50498814	26684	0.000108233598841419
18	0	50735720	50735720	1	0.000108233598841419
18	0	50758109	50800200	42092	0.000108233598841419
18	0	50813287	50813287	1	0.000108233598841419
18	0	50819580	50860722	41143	0.000108233598841419
18	0	50957140	50958159	1020	0.000108233598841419
18	0	50999364	51001129	1766	0.000108233598841419
18	0	54626604	54626775	172	0.000108233598841419
18	0	54711185	54730962	19778	0.000108233598841419
18	0	54803123	54904724	101602	0.000108233598841419
18	0	54955927	54982204	26278	0.000108233598841419
18	0	55194278	55195435	1158	0.000108233598841419
18	0	55483478	55483850	373	0.000108233598841419
18	0	55577138	55579183	2046	0.000108233598841419
18	0	55687065	55688029	965	0.000108233598841419
18	0	55793323	55805998	12676	0.000108233598841419
18	0	55890018	55914493	24476	0.000108233598841419
18	0	57341889	57341889	1	0.000108233598841419
18	0	58917456	59089372	171917	0.000108233598841419
18	0	59094987	59247507	152521	0.000108233598841419
18	0	59250470	59282156	31687	0.000108233598841419
18	0	59284865	59391297	106433	0.000108233598841419
18	0	69049489	71366854	2317366	0.000108233598841419
18	0	71368579	71425622	57044	0.000108233598841419
18	0	71434016	71626039	192024	0.000108233598841419
18	0	71898820	71901606	2787	0.000108233598841419
18	0	71982461	71982959	499	0.000108233598841419
18	0	72210420	72212435	2016	0.000108233598841419
18	0	72243912	72244551	640	0.000108233598841419
18	0	72816792	72914782	97991	0.000108233598841419
18	0	47364069	47471905	107837	0.000418703408360129
18	0	47476950	47556671	79722	0.000418703408360129
18	0	48124715	48303329	178615	0.000418703408360129
18	0	50860752	50951354	90603	0.000418703408360129
18	0	50962006	50998348	36343	0.000418703408360129
18	0	51003927	51104480	100554	0.000418703408360129
18	0	51125473	52003106	877634	0.000418703408360129
18	0	52023411	52025643	2233	0.000418703408360129
18	0	52391574	52393744	2171	0.000418703408360129
18	0	52498776	52861966	363191	0.000418703408360129
18	0	53643467	53643688	222	0.000418703408360129
18	0	53949774	54226780	277007	0.000418703408360129
18	0	54598872	54626576	27705	0.000418703408360129
18	0	54627183	54710454	83272	0.000418703408360129
18	0	54984874	55193095	208222	0.000418703408360129
18	0	55200943	55479671	278729	0.000418703408360129
18	0	55484861	55576978	92118	0.000418703408360129
18	0	55581707	55680457	98751	0.000418703408360129
18	0	55688243	55793087	104845	0.000418703408360129
18	0	56017523	56120591	103069	0.000418703408360129
18	0	56133651	56135390	1740	0.000418703408360129
18	0	56204768	56247600	42833	0.000418703408360129
